-85.68, 10.18
-85.65, 10.20
-85.62, 10.22
-85.58, 10.23
-85.55, 10.24
-85.51, 10.24
-85.48, 10.24
-85.44, 10.23
-85.41, 10.21
-85.39, 10.19
-85.38, 10.15
-85.37, 10.11
-85.35, 10.08
-85.34, 10.05
-85.33, 10.01
-85.32, 9.97
-85.32, 9.93
-85.33, 9.90
-85.34, 9.86
-85.37, 9.83
-85.40, 9.82
-85.45, 9.81
-85.49, 9.81
-85.54, 9.80
-85.59, 9.80
-85.63, 9.79
-85.68, 9.79
-85.71, 9.78
-85.74, 9.76
-85.78, 9.75
-85.82, 9.74
-85.85, 9.75
-85.85, 9.80
-85.84, 9.83
-85.82, 9.86
-85.80, 9.89
-85.78, 9.92
-85.77, 9.96
-85.77, 9.99
-85.77, 10.03
-85.75, 10.07
-85.74, 10.10
-85.72, 10.13
-85.71, 10.15
